platform_id,internal_index,x_m,y_m,valid_candidate,fixed_cost_RMB
P001,0,248.34403090665202,35.904716697302554,True,250000
P002,1,3019.510412751344,1407.0722025767857,True,250000
P003,2,3439.6014642794535,3160.7804537496977,True,250000
P004,3,8402.31033647987,17.41381917503282,True,250000
P005,4,7507.3404117131695,8391.107946504619,True,250000
P006,5,7130.235657969237,9015.665630989359,True,250000
P007,6,2898.329589755253,3722.2199935449175,True,250000
P008,7,3928.9938204110454,9987.925057856137,True,250000
P009,8,4280.52751389566,2751.5525262247966,True,250000
P010,9,482.68096749765397,1017.0985796762633,True,250000
P011,10,8346.759949771924,2856.231900674364,True,250000
P012,11,1898.490471630069,3733.492850150366,True,250000
P013,12,9561.652647536072,8842.665555254467,True,250000
P014,13,8119.622674707723,6308.958038690809,True,250000
P015,14,9134.238874593852,9406.992983382415,True,250000
P016,15,5492.281481879637,7195.72581951148,True,250000
P017,16,494.76034443567295,7323.524684524983,True,250000
P018,17,4508.604229607736,7526.680092407207,True,250000
