hazard_id,internal_index,x_m,y_m,minimum_platform_safety_distance_m
H001,0,3825.60477232485,4790.10164070626,500.0
H002,1,6836.965627023515,7669.7010581752265,500.0
H003,2,6169.740157782498,6427.629753819862,500.0
H004,3,774.7181951780069,1474.2507287690742,500.0
H005,4,2539.4028165589534,7432.172573572905,500.0
H006,5,3044.171379592325,5677.616978693083,500.0
H007,6,124.69213324939443,606.6101406364177,500.0
H008,7,2687.7276578924802,6720.015786552359,500.0
H009,8,6921.85172570448,6757.076568127744,500.0
H010,9,2908.56478429369,5165.356940444077,500.0
H011,10,4646.628533743144,4663.391542968881,500.0
H012,11,1185.0286270156796,8936.629261752701,500.0
H013,12,1992.5002985950302,9781.25736757027,500.0
H014,13,9362.543409537164,175.04455816662824,500.0
H015,14,4589.708229635971,8198.976926998683,500.0
H016,15,9681.082516506996,4494.509696510952,500.0
H017,16,2686.5724017358084,2098.3721998747264,500.0
H018,17,9455.872768948677,2107.087975339059,500.0
H019,18,5814.72367721074,1417.4067785953116,500.0
H020,19,5240.657125548196,9527.403366532442,500.0
