monitoring_point_id,internal_index,x_m,y_m,inspection_frequency,inspection_time_h
J001,0,489.7690498758278,9267.770465471462,2,0.12990608188076014
J002,1,1273.1132038505966,4721.840874468285,1,0.12327535595224978
J003,2,3436.628526579293,2977.7186554478685,2,0.12496213992076906
J004,3,7390.325049962496,9762.961764098542,3,0.21729460743632
J005,4,3008.36291038856,5573.217024570404,1,0.2780678343345051
J006,5,3943.6777770327412,1673.3246775869304,1,0.26489581600144374
J007,6,1616.5696140505813,2078.725211367367,3,0.1854841537775384
J008,7,9059.599102424572,4970.757853268574,1,0.22365516942502195
J009,8,2200.2525220055923,9062.593902113606,2,0.25592162386692524
J010,9,9964.751136246909,4499.604435818122,3,0.09865126701908362
J011,10,1395.9606399972213,1924.07095760745,1,0.22532884304507667
J012,11,907.1450810652293,3419.5523378159164,3,0.28015097026137903
J013,12,910.9433978265324,2391.265807174543,1,0.2521066345015798
J014,13,8872.514592117199,7496.576076046787,1,0.24503090116270082
J015,14,4127.816586407861,4138.835724133293,1,0.18516720381068003
J016,15,3382.0310050331805,620.595179360054,2,0.11927477803426619
J017,16,2775.163469782528,9676.852625619264,2,0.2536097948244608
J018,17,1258.7380175853646,5033.957476111181,1,0.15315378397021417
J019,18,6296.269058459393,8628.613490509411,1,0.256181185157272
J020,19,2159.6314081995306,2710.208810626725,1,0.2937646035760748
J021,20,2484.536497634705,3997.5713674568915,3,0.16708446891527856
J022,21,4458.583923566094,9539.435752631427,2,0.16830509993089432
J023,22,8486.836762304525,8728.909862640528,1,0.2882953414222764
J024,23,218.1051021253333,322.43493387102086,3,0.23945570643952735
J025,24,7095.11784938654,8956.965193469023,1,0.117400805193817
J026,25,4732.682777068112,5871.764904992607,1,0.10794844080553015
J027,26,1.7868781937568912,3915.2109570978955,3,0.11325315408392775
J028,27,9268.272737276606,8255.892062772915,3,0.27906746106131264
J029,28,8554.626738142328,9722.411218952418,3,0.25743043604708316
J030,29,2484.652830891846,1090.45998929444,1,0.11215834792365231
J031,30,1543.7838548472694,5223.65607111808,3,0.26183230527558515
J032,31,6820.750617153228,9414.905594691287,3,0.2956673075583467
J033,32,7217.352889552988,6473.4811966500065,2,0.22459902440192436
J034,33,7648.00547770313,4573.250419274224,1,0.15708965267465064
J035,34,5515.009148185075,395.46258757755413,1,0.20070520967709138
J036,35,7822.986180011314,2325.768289669028,1,0.10881644744207908
J037,36,9199.201094924787,6455.057763682427,3,0.08313344639434322
J038,37,3037.8226162817245,1279.668482130224,1,0.2935958389923081
J039,38,6985.819173145595,1121.3268413726073,2,0.2229284273282427
J040,39,703.5190835855365,5244.366820420359,2,0.1958478303617922
J041,40,104.61639892133445,3015.2130124251576,1,0.28539745711263387
J042,41,4606.906270876798,9589.399718966857,3,0.17543807608664683
J043,42,6445.756393627166,8837.740290340602,1,0.27178344415766886
J044,43,4753.042200675436,2347.680967077779,3,0.2617541553993486
J045,44,2470.583843386236,9606.142298267048,2,0.12642931421219272
J046,45,217.87384108567397,4983.102447155753,3,0.13540365850039984
J047,46,9251.608280108721,2267.860732446868,3,0.14445266358744815
J048,47,340.97423373332435,3380.5157034346635,1,0.13291866636283362
J049,48,4205.568459802857,6825.666829672322,1,0.20901617699651154
J050,49,7391.292217757531,5048.783873575363,3,0.13706025495944624
J051,50,2052.1858703863327,9698.587223918274,3,0.1721827616059996
J052,51,3117.1574269128664,8200.044944430385,3,0.10883620883076633
