platform_id,internal_index,x_m,y_m,valid_candidate,fixed_cost_RMB
P001,0,3804.413002560377,2307.5150810868217,True,250000
P002,1,829.8469466133207,1512.9838311640065,True,250000
P003,2,6585.1667697233015,120.63059843798851,True,250000
P004,3,8310.935615682863,1823.4287398119732,True,250000
P005,4,2819.3072232673767,1456.763924579806,True,250000
P006,5,3186.1168111188654,1254.91512495977,True,250000
P007,6,8592.019492051857,9502.239496826585,True,250000
P008,7,4566.437222028748,8709.795011577717,True,250000
P009,8,9518.862208315222,6805.7510106171,True,250000
P010,9,5592.7174085660945,3980.696305556508,True,250000
P011,10,3941.200159753642,4815.228181651947,True,250000
P012,11,4004.426305163489,1906.0953756680788,True,250000
P013,12,9846.676007566093,4406.268683247505,True,250000
P014,13,1099.2830500046646,6007.272605044812,True,250000
P015,14,1023.795977252221,5667.8360813308445,True,250000
