monitoring_point_id,internal_index,x_m,y_m,inspection_frequency,inspection_time_h
J001,0,5366.1868796843555,9489.487585694336,2,0.20566496611059426
J002,1,6137.372629754311,703.1557615348971,1,0.12133162589317156
J003,2,2079.526827787532,3762.2936180644097,2,0.10143472671884134
J004,3,6344.095785339009,9554.680239214713,3,0.23666436846415378
J005,4,6022.791889620083,4741.5146323175895,1,0.20416102448934503
J006,5,1153.5351610881771,4880.680590354108,1,0.2161821104981818
J007,6,9778.230001478601,4803.951046156485,3,0.1892111889249682
J008,7,3118.523142180194,1441.174902184874,1,0.19697845424764082
J009,8,7496.739204424309,7403.512244280941,2,0.2509903304957775
J010,9,5163.345189623215,2052.150067015407,3,0.18243241048472827
J011,10,9520.209471006496,3617.5245900901054,1,0.28315710440054953
J012,11,6900.675858793588,9141.457827913946,3,0.15954811830780458
J013,12,7581.429595359373,2980.8969034628,1,0.13465384866866084
J014,13,6429.170806953685,910.1055336145147,1,0.1195486849082915
J015,14,8454.47594382727,5183.96857132761,1,0.2515625187285336
J016,15,9082.585436630401,3556.961698229455,2,0.09800810237506936
J017,16,2227.9275605523876,5415.671227801955,2,0.14605480608003757
J018,17,6132.282228135409,7883.9926410411335,1,0.18892559910215623
J019,18,7583.22424088633,1951.4603023289578,1,0.1555646517908421
J020,19,2393.876747662793,4006.8436965251717,1,0.17874352189411452
J021,20,8033.260645474455,1999.1798339514967,3,0.21397098418800875
J022,21,9896.0358670307,7901.141366319249,2,0.09610419084112697
J023,22,4722.400624988553,1936.4494601280935,1,0.1926252227424608
J024,23,6051.390316822758,3442.80924254862,3,0.11629166280158611
J025,24,8085.657427983075,7231.27961069629,1,0.15525227735516872
J026,25,3495.1966222376095,9745.14978860586,1,0.28531944667974024
J027,26,805.3812548862638,1021.5714742873472,3,0.17277363798488374
J028,27,4826.533021335779,9852.489970647419,3,0.29164419835066413
J029,28,6102.621468934083,19.083133300648036,3,0.09707650607977501
J030,29,9091.991979850682,3440.0690197679205,1,0.2027766655837424
J031,30,6431.330970285719,8346.48807798219,3,0.25360071772787807
J032,31,1199.0363083613763,3885.357438199436,3,0.26003773532080987
J033,32,7114.929836253856,1993.194034549053,2,0.15482691968206302
J034,33,8890.110044071205,4339.250757480817,1,0.15703924529821703
J035,34,6358.422214725404,867.4985767024424,1,0.18926845496577727
J036,35,9461.653453980183,7218.247309017069,1,0.2553162346807507
J037,36,849.1924945115048,1588.5605044665674,3,0.09512784886950933
J038,37,9931.123564171668,275.48850708832504,1,0.10059111913911879
J039,38,5908.123024169511,4653.538823612181,2,0.1393866409681859
J040,39,5958.7025627721805,4743.569318746648,2,0.2333492549219242
J041,40,9374.675106287563,1559.1242573156983,1,0.09429999465754087
J042,41,5482.855597956765,213.96674321911723,3,0.2408550536209959
J043,42,7993.57011697368,7263.7005634363495,1,0.14811362283206242
J044,43,1027.7205352918083,7494.9622849840525,3,0.207148170757898
J045,44,1392.5072873986833,9865.494211893001,2,0.2298721784414608
J046,45,1948.054419916514,8739.068523872073,3,0.17804096879520276
J047,46,279.9372562642999,2127.797923458118,3,0.23765811476762677
J048,47,3259.893079054712,5443.527655229907,1,0.27514886429238017
J049,48,8341.949964394693,609.0452454996887,1,0.15634115625145914
J050,49,7399.220492972732,8977.040012043788,3,0.2869426846621406
