zone_id,zone_internal_index,vertex_order,x_m,y_m
Z01,0,1,3288.7833916654117,6534.3508440916
Z01,0,2,5485.988750889382,6534.3508440916
Z01,0,3,5485.988750889382,8467.443870069137
Z01,0,4,3288.7833916654117,8467.443870069137
Z02,1,1,3455.0950807998142,2594.826124271074
Z02,1,2,5364.635995211835,2594.826124271074
Z02,1,3,5364.635995211835,4739.243445142334
Z02,1,4,3455.0950807998142,4739.243445142334
Z03,2,1,4006.7304844187047,5065.291033224031
Z03,2,2,6595.904149219653,5065.291033224031
Z03,2,3,6595.904149219653,7411.469480733992
Z03,2,4,4006.7304844187047,7411.469480733992
