monitoring_point_id,internal_index,x_m,y_m,inspection_frequency,inspection_time_h
J001,0,3420.5580615985787,9332.702121806375,2,0.17199787330156707
J002,1,4216.983544767443,9620.190834121096,1,0.1329458600279455
J003,2,776.2048218079553,5580.757526533747,2,0.20123039583410485
J004,3,7890.941714903549,8183.533423673176,3,0.09300431133737762
J005,4,3401.223621911955,3501.783877191683,1,0.2043998127224775
J006,5,4966.7479529898765,7968.919758215943,1,0.2884389341556472
J007,6,687.6294940686056,935.9599608690361,3,0.21873770146098215
J008,7,649.9997571609483,7311.593346408905,1,0.20825931898128958
J009,8,6812.371747339128,4456.407672509217,2,0.09360965063395088
J010,9,7166.277943983036,8870.402922380918,3,0.20881911298088507
J011,10,3470.0525568845064,9406.485666460938,1,0.09090964894574972
J012,11,4936.929945569815,2182.0777481967943,3,0.12863800116068264
J013,12,3978.976785462327,9168.162261800615,1,0.20246627754616037
J014,13,4965.066990299619,1663.6628247192054,1,0.10929845961715312
J015,14,4016.442563343041,2778.3913078445066,1,0.17221058958572233
J016,15,1369.261430150258,4305.216510890757,2,0.19895089481707134
