Instance size,Variant,Removed repair mechanism,Run,Instance seed,Search seed,Objective value,Coverage rate (%),Feasible,Computational time (s),Open platforms
Medium-scale,Full TQ-ALNS,None,1,2026070701,2026080101,184.07136867117887,100.0,1,0.9741852283477783,4
Medium-scale,w/o NFZ repair,No-fly-zone detour / route-accessibility repair,1,2026070701,2026080101,220.05693965249012,100.0,1,1.4139955043792725,4
Medium-scale,w/o Energy repair,Energy chance-constraint and safe-return repair,1,2026070701,2026080101,184.07136867117887,100.0,1,1.0222055912017822,4
Medium-scale,w/o Compatibility repair,UAV-type compatibility repair,1,2026070701,2026080101,234.05102311382944,100.0,1,0.8627231121063232,4
Medium-scale,w/o All specific repairs,All tailored repair mechanisms,1,2026070701,2026080101,234.05102311382944,100.0,1,1.3748362064361572,4
Medium-scale,Full TQ-ALNS,None,2,2026070702,2026080102,184.07894906378817,100.0,1,1.11020827293396,4
Medium-scale,w/o NFZ repair,No-fly-zone detour / route-accessibility repair,2,2026070702,2026080102,220.0682787747431,100.0,1,1.310431957244873,4
Medium-scale,w/o Energy repair,Energy chance-constraint and safe-return repair,2,2026070702,2026080102,184.07894906378817,100.0,1,1.119459629058838,4
Medium-scale,w/o Compatibility repair,UAV-type compatibility repair,2,2026070702,2026080102,234.0625094441419,100.0,1,0.7952771186828613,4
Medium-scale,w/o All specific repairs,All tailored repair mechanisms,2,2026070702,2026080102,232.05078139678488,92.0,1,1.2637746334075928,4
Medium-scale,Full TQ-ALNS,None,3,2026070703,2026080103,198.0516852388259,100.0,1,0.9921128749847412,4
Medium-scale,w/o NFZ repair,No-fly-zone detour / route-accessibility repair,3,2026070703,2026080103,198.06138844786125,100.0,1,1.45963454246521,4
Medium-scale,w/o Energy repair,Energy chance-constraint and safe-return repair,3,2026070703,2026080103,198.0516852388259,100.0,1,0.9235332012176514,4
Medium-scale,w/o Compatibility repair,UAV-type compatibility repair,3,2026070703,2026080103,256.05520241311723,100.0,1,0.8161296844482422,4
Medium-scale,w/o All specific repairs,All tailored repair mechanisms,3,2026070703,2026080103,234.05583685499892,100.0,1,1.7246170043945312,4
Medium-scale,Full TQ-ALNS,None,4,2026070704,2026080104,184.0565009721813,100.0,1,0.9476404190063477,4
Medium-scale,w/o NFZ repair,No-fly-zone detour / route-accessibility repair,4,2026070704,2026080104,220.06631707847572,100.0,1,1.4823532104492188,4
Medium-scale,w/o Energy repair,Energy chance-constraint and safe-return repair,4,2026070704,2026080104,184.0565009721813,100.0,1,0.942122220993042,4
Medium-scale,w/o Compatibility repair,UAV-type compatibility repair,4,2026070704,2026080104,292.05980591424833,100.0,1,0.8003051280975342,4
Medium-scale,w/o All specific repairs,All tailored repair mechanisms,4,2026070704,2026080104,270.05370876374326,100.0,1,2.115400791168213,4
Medium-scale,Full TQ-ALNS,None,5,2026070705,2026080105,184.0594269861969,100.0,1,0.9422800540924072,4
