Configuration,UAV type setting,Run,Instance seed,Search seed,Total cost (10^4 RMB),Completion time (h),Total completion time (h),Open platforms,Deployed UAVs,Coverage rate (%),Feasible,Average route length (km),Total route distance (km),Computational time (s)
All-light,Type A only,1,2026070701,2026080101,148.04372852921009,8.727880166734252,27.34525204197064,4,4,100.0,True,3.864342582605241,409.62031375615555,2.6213395595550537
All-medium,Type B only,1,2026070701,2026081101,190.05134510987762,11.073356077040593,26.314892833822213,4,4,100.0,True,4.374827185751572,463.7316816896667,0.9115641117095947
All-heavy,Type C only,1,2026070701,2026082101,220.06938837425184,18.968381572549237,27.136999073634854,4,4,100.0,True,6.244105906541013,661.8752260933474,0.7950546741485596
Heterogeneous,Type A + Type B + Type C,1,2026070701,2026083101,148.04428051335117,9.220458231499553,27.460248738028163,4,4,100.0,True,3.929435052071764,416.520115519607,1.196535348892212
All-light,Type A only,2,2026070702,2026080102,148.04016789504055,7.04750470356636,25.099587651749335,4,4,100.0,True,3.6511238663675294,365.11238663675294,0.8784732818603516
All-medium,Type B only,2,2026070702,2026081102,190.05136735721837,11.17753361169468,24.81450337591179,4,4,100.0,True,4.640097734486669,464.00977344866686,0.7012832164764404
All-heavy,Type C only,2,2026070702,2026082102,184.0832479136176,27.708041642880332,27.708041642880332,4,4,100.0,True,8.693660435076886,869.3660435076887,1.1730968952178955
Heterogeneous,Type A + Type B + Type C,2,2026070702,2026083102,184.0586738277036,14.45850415503762,25.7668962446471,4,4,100.0,True,5.621899695820581,562.1899695820581,1.0221009254455566
All-light,Type A only,3,2026070703,2026080103,149.5458491072269,7.920954068563185,25.22655786970681,4,4,98.0,True,4.496160195530076,436.12753896641743,1.1865837574005127
All-medium,Type B only,3,2026070703,2026081103,190.05384311868184,8.713011480203406,24.232020875522778,4,4,100.0,True,5.050579507575501,494.95679174239905,0.9896988868713379
All-heavy,Type C only,3,2026070703,2026082103,220.071389038681,15.606944875829742,24.913896293314888,4,4,100.0,True,7.009015627114383,686.8835314572095,1.2421646118164062
Heterogeneous,Type A + Type B + Type C,3,2026070703,2026083103,162.04786072970285,7.920954068563185,24.913246670205737,4,4,100.0,True,4.567083569168397,447.5741897785029,1.4475398063659668
