Instance size,Algorithm,Runs,Valid runs,Mean objective value,Standard deviation,CV (%),Mean deviation from run BKS (%),Mean coverage rate (%),Mean open platforms,Mean time (s),Feasibility rate (%)
Small-scale,MIP / benchmark,10,10,114.12092994451639,6.1701290754920635,5.4066586019688705,0.0,98.75,3.0,0.0571988582611084,100.0
Small-scale,ALNS+Q-learning+SA,10,10,118.02197265369861,9.901428341023875,8.389478771107102,3.3608268661427956,100.0,3.0,1.5288317680358887,100.0
Medium-scale,Greedy,10,10,175.85864332868005,16.776534948262622,9.539784130432109,7.752988005485102,100.0,4.0,0.001355147361755371,100.0
Medium-scale,ALNS-only,10,10,165.85029507119825,20.323948074174595,12.254393678015274,1.2498512120332932,100.0,4.0,4.268615460395813,100.0
Medium-scale,ALNS+SA,10,10,167.25147583447603,19.42211388999415,11.612521679160343,2.1963661054343286,100.0,4.0,4.264540386199951,100.0
Medium-scale,ALNS+Q-learning+SA,10,10,163.64986188545225,17.434895709857024,10.653779666530173,8.394869468403008e-06,100.0,4.0,4.826289486885071,100.0
Large-scale,Greedy,10,10,519.5749483367829,4.432627145837289,0.8531256481912034,0.2730683229720687,100.0,14.0,0.012100720405578613,100.0
Large-scale,ALNS-only,10,10,518.1601047853011,0.00736936606356667,0.0014222179584088507,1.4986533180611763e-05,100.0,14.0,23.94245865345001,100.0
Large-scale,ALNS+SA,10,10,518.1611020421135,0.0075812502829808726,0.0014631067930615733,0.00020744731140168534,100.0,14.0,24.021836590766906,100.0
Large-scale,ALNS+Q-learning+SA,10,10,518.1632655634941,0.006537313090675147,0.0012616319073807608,0.0006249899129103719,100.0,14.0,24.30439829826355,100.0
