Instance size,Run,Instance seed,Search seed,Algorithm,Objective value,Deviation from run BKS (%),Coverage rate (%),Number of open platforms,Computational time (s),Feasible,Uncovered points
Large-scale,1,2026070801,2026080201,Greedy,518.1645534226536,0.0006189408436486872,100.0,14,0.01600027084350586,True,0
Large-scale,1,2026070801,2026080201,ALNS-only,518.1615585838406,4.0966659668633e-05,100.0,14,33.01920509338379,True,0
Large-scale,1,2026070801,2026080201,ALNS+SA,518.1613463104453,0.0,100.0,14,31.774215936660767,True,0
Large-scale,1,2026070801,2026080201,ALNS+Q-learning+SA,518.1627594381745,0.000272719634381741,100.0,14,25.673776865005493,True,0
Large-scale,2,2026070802,2026080202,Greedy,518.2044689692756,0.0059571475878504275,100.0,14,0.0200045108795166,True,0
Large-scale,2,2026070802,2026080202,ALNS-only,518.1736006031264,0.0,100.0,14,27.529780626296997,True,0
Large-scale,2,2026070802,2026080202,ALNS+SA,518.174956857097,0.00026173737315175234,100.0,14,29.47024965286255,True,0
Large-scale,2,2026070802,2026080202,ALNS+Q-learning+SA,518.1748379406483,0.00023878822088129652,100.0,14,24.06179451942444,True,0
Large-scale,3,2026070803,2026080203,Greedy,518.1650167512212,0.0008528843656939852,100.0,14,0.009995698928833008,True,0
Large-scale,3,2026070803,2026080203,ALNS-only,518.1605974404964,0.0,100.0,14,20.788760662078857,True,0
Large-scale,3,2026070803,2026080203,ALNS+SA,518.1610671303939,9.06456221912522e-05,100.0,14,25.075172424316406,True,0
Large-scale,3,2026070803,2026080203,ALNS+Q-learning+SA,518.1624654547154,0.0003605087357495563,100.0,14,25.477142810821533,True,0
Large-scale,4,2026070804,2026080204,Greedy,532.1903666362881,2.7084368075197016,100.0,14,0.010993242263793945,True,0
Large-scale,4,2026070804,2026080204,ALNS-only,518.1564272403806,0.0,100.0,14,21.116334915161133,True,0
Large-scale,4,2026070804,2026080204,ALNS+SA,518.1575516397928,0.00021699999326612996,100.0,14,20.851593255996704,True,0
Large-scale,4,2026070804,2026080204,ALNS+Q-learning+SA,518.1601118368995,0.0007110973299269771,100.0,14,24.796162128448486,True,0
Large-scale,5,2026070805,2026080205,Greedy,518.1673225131749,0.0019507224406025727,100.0,14,0.014994621276855469,True,0
Large-scale,5,2026070805,2026080205,ALNS-only,518.1572147041101,0.0,100.0,14,20.547463178634644,True,0
Large-scale,5,2026070805,2026080205,ALNS+SA,518.1588076271742,0.0003074208018129406,100.0,14,20.12733507156372,True,0
Large-scale,5,2026070805,2026080205,ALNS+Q-learning+SA,518.1652301444641,0.0015469128145993844,100.0,14,32.57128405570984,True,0
Large-scale,6,2026070806,2026080206,Greedy,518.17471597437,0.004025379837040235,100.0,14,0.010004520416259766,True,0
Large-scale,6,2026070806,2026080206,ALNS-only,518.1544225761039,0.00010889867213748464,100.0,14,21.013214588165283,True,0
Large-scale,6,2026070806,2026080206,ALNS+SA,518.1538583134326,0.0,100.0,14,19.74357509613037,True,0
Large-scale,6,2026070806,2026080206,ALNS+Q-learning+SA,518.1564491593566,0.0005000147895194254,100.0,14,20.998305082321167,True,0
Large-scale,7,2026070807,2026080207,Greedy,518.169667373427,0.002603591645077614,100.0,14,0.010004758834838867,True,0
Large-scale,7,2026070807,2026080207,ALNS-only,518.156176702502,0.0,100.0,14,26.15520143508911,True,0
Large-scale,7,2026070807,2026080207,ALNS+SA,518.1568728039504,0.0001343420149553437,100.0,14,24.747808933258057,True,0
Large-scale,7,2026070807,2026080207,ALNS+Q-learning+SA,518.1569966653512,0.00015824627518593186,100.0,14,21.22730255126953,True,0
Large-scale,8,2026070808,2026080208,Greedy,518.1571791610913,0.0017043331804207364,100.0,14,0.009005546569824219,True,0
Large-scale,8,2026070808,2026080208,ALNS-only,518.1483481868694,0.0,100.0,14,20.648141622543335,True,0
Large-scale,8,2026070808,2026080208,ALNS+SA,518.1507054954604,0.00045494858746674365,100.0,14,19.428974390029907,True,0
Large-scale,8,2026070808,2026080208,ALNS+Q-learning+SA,518.1556984317888,0.0014185599442928245,100.0,14,25.41978693008423,True,0
Large-scale,9,2026070809,2026080209,Greedy,518.1881162420461,0.0036145174981837194,100.0,14,0.010003089904785156,True,0
Large-scale,9,2026070809,2026080209,ALNS-only,518.1693869188857,0.0,100.0,14,23.922393798828125,True,0
Large-scale,9,2026070809,2026080209,ALNS+SA,518.1721569004433,0.0005345706688732715,100.0,14,23.088571548461914,True,0
Large-scale,9,2026070809,2026080209,ALNS+Q-learning+SA,518.1726579346704,0.0006312638043154627,100.0,14,19.71955442428589,True,0
Large-scale,10,2026070810,2026080210,Greedy,518.1680763242806,0.0009189048024670827,100.0,14,0.010000944137573242,True,0
Large-scale,10,2026070810,2026080210,ALNS-only,518.1633148966954,0.0,100.0,14,24.684090614318848,True,0
Large-scale,10,2026070810,2026080210,ALNS+SA,518.1636973429459,7.380805229941963e-05,100.0,14,25.910869598388672,True,0
Large-scale,10,2026070810,2026080210,ALNS+Q-learning+SA,518.1654486288716,0.00041178758025111825,100.0,14,23.098873615264893,True,0
