Instance size,Run,Instance seed,Search seed,Algorithm,Objective value,Deviation from run BKS (%),Coverage rate (%),Number of open platforms,Computational time (s),Feasible,Uncovered points
Medium-scale,1,2026070701,2026080101,Greedy,176.05332687960887,18.91937079172184,100.0,4,0.0019969940185546875,True,0
Medium-scale,1,2026070701,2026080101,ALNS-only,148.04428051335117,0.0,100.0,4,3.9306862354278564,True,0
Medium-scale,1,2026070701,2026080101,ALNS+SA,148.04428051335117,0.0,100.0,4,3.7579030990600586,True,0
Medium-scale,1,2026070701,2026080101,ALNS+Q-learning+SA,148.04428051335117,0.0,100.0,4,6.155988931655884,True,0
Medium-scale,2,2026070702,2026080102,Greedy,184.05882834255772,8.394869468403008e-05,100.0,4,0.001999378204345703,True,0
Medium-scale,2,2026070702,2026080102,ALNS-only,184.0586738277036,0.0,100.0,4,4.315225124359131,True,0
Medium-scale,2,2026070702,2026080102,ALNS+SA,184.05882834255772,8.394869468403008e-05,100.0,4,4.658300399780273,True,0
Medium-scale,2,2026070702,2026080102,ALNS+Q-learning+SA,184.05882834255772,8.394869468403008e-05,100.0,4,4.751456260681152,True,0
Medium-scale,3,2026070703,2026080103,Greedy,184.0586912194281,13.582919509464869,100.0,4,0.0009999275207519531,True,0
Medium-scale,3,2026070703,2026080103,ALNS-only,162.04786072970285,0.0,100.0,4,4.614466667175293,True,0
Medium-scale,3,2026070703,2026080103,ALNS+SA,162.04786072970285,0.0,100.0,4,4.558573484420776,True,0
Medium-scale,3,2026070703,2026080103,ALNS+Q-learning+SA,162.04786072970285,0.0,100.0,4,5.021214485168457,True,0
Medium-scale,4,2026070704,2026080104,Greedy,198.05478127000833,0.0010596389826144565,100.0,4,0.0009987354278564453,True,0
Medium-scale,4,2026070704,2026080104,ALNS-only,198.0526826265771,0.0,100.0,4,4.54250431060791,True,0
Medium-scale,4,2026070704,2026080104,ALNS+SA,198.0526826265771,0.0,100.0,4,4.502668380737305,True,0
Medium-scale,4,2026070704,2026080104,ALNS+Q-learning+SA,198.0526826265771,0.0,100.0,4,4.516366481781006,True,0
Medium-scale,5,2026070705,2026080105,Greedy,162.05199012291055,9.460762245117873,100.0,4,0.00099945068359375,True,0
Medium-scale,5,2026070705,2026080105,ALNS-only,148.0457351101064,0.0,100.0,4,3.8605563640594482,True,0
Medium-scale,5,2026070705,2026080105,ALNS+SA,148.0457351101064,0.0,100.0,4,3.8984596729278564,True,0
Medium-scale,5,2026070705,2026080105,ALNS+Q-learning+SA,148.0457351101064,0.0,100.0,4,4.02082371711731,True,0
Medium-scale,6,2026070706,2026080106,Greedy,148.05222047379618,0.0027259055251957543,100.0,4,0.0015561580657958984,True,0
Medium-scale,6,2026070706,2026080106,ALNS-only,148.04818482014622,0.0,100.0,4,4.092618703842163,True,0
Medium-scale,6,2026070706,2026080106,ALNS+SA,148.04818482014622,0.0,100.0,4,4.077276945114136,True,0
Medium-scale,6,2026070706,2026080106,ALNS+Q-learning+SA,148.04818482014622,0.0,100.0,4,4.487523555755615,True,0
Medium-scale,7,2026070707,2026080107,Greedy,162.05500868338325,9.466762806770808,100.0,4,0.0009996891021728516,True,0
Medium-scale,7,2026070707,2026080107,ALNS-only,148.04037730561237,0.0,100.0,4,3.9590728282928467,True,0
Medium-scale,7,2026070707,2026080107,ALNS+SA,162.05500868338325,9.466762806770808,100.0,4,4.317440748214722,True,0
Medium-scale,7,2026070707,2026080107,ALNS+Q-learning+SA,148.04037730561237,0.0,100.0,4,4.959705591201782,True,0
Medium-scale,8,2026070708,2026080108,Greedy,184.07640625419236,13.589384498741724,100.0,4,0.0020003318786621094,True,0
Medium-scale,8,2026070708,2026080108,ALNS-only,162.05435921206563,7.764611220705901e-05,100.0,4,4.422429323196411,True,0
Medium-scale,8,2026070708,2026080108,ALNS+SA,162.05423338325375,0.0,100.0,4,3.9350569248199463,True,0
Medium-scale,8,2026070708,2026080108,ALNS+Q-learning+SA,162.05423338325375,0.0,100.0,4,4.035606861114502,True,0
Medium-scale,9,2026070709,2026080109,Greedy,198.0714731859993,12.50421587727558,100.0,4,0.0009968280792236328,True,0
Medium-scale,9,2026070709,2026080109,ALNS-only,198.06129462503404,12.498434474220726,100.0,4,3.4147229194641113,True,0
Medium-scale,9,2026070709,2026080109,ALNS+SA,198.05844219399853,12.496814298877796,100.0,4,3.457414150238037,True,0
Medium-scale,9,2026070709,2026080109,ALNS+Q-learning+SA,176.0569340815318,0.0,100.0,4,4.89419960975647,True,0
Medium-scale,10,2026070710,2026080110,Greedy,162.05370685491593,0.002594832555810258,100.0,4,0.0010039806365966797,True,0
Medium-scale,10,2026070710,2026080110,ALNS-only,162.04950194168302,0.0,100.0,4,5.533872127532959,True,0
Medium-scale,10,2026070710,2026080110,ALNS+SA,162.04950194168302,0.0,100.0,4,5.482310056686401,True,0
Medium-scale,10,2026070710,2026080110,ALNS+Q-learning+SA,162.04950194168302,0.0,100.0,4,5.42000937461853,True,0
