Instance size,Run,Instance seed,Search seed,Algorithm,Objective value,Deviation from run BKS (%),Coverage rate (%),Number of open platforms,Computational time (s),Feasible,Uncovered points
Small-scale,1,2026070601,2026080001,MIP / benchmark,111.01795442489544,0.0,100.0,3,0.04100346565246582,True,0
Small-scale,1,2026070601,2026080001,ALNS+Q-learning+SA,111.0194547740241,0.001351447282950107,100.0,3,1.1373589038848877,True,0
Small-scale,2,2026070602,2026080002,MIP / benchmark,111.02209509478531,0.0,100.0,3,0.046001434326171875,True,0
Small-scale,2,2026070602,2026080002,ALNS+Q-learning+SA,111.02209509478531,0.0,100.0,3,1.2667088508605957,True,0
Small-scale,3,2026070603,2026080003,MIP / benchmark,126.52292365655454,0.0,93.75,3,0.0798654556274414,True,1
Small-scale,3,2026070603,2026080003,ALNS+Q-learning+SA,139.02646452755906,9.88243119084513,100.0,3,1.6872096061706543,True,0
Small-scale,4,2026070604,2026080004,MIP / benchmark,111.02095037529578,0.0,100.0,3,0.05200076103210449,True,0
Small-scale,4,2026070604,2026080004,ALNS+Q-learning+SA,111.02227524606499,0.001193352033766016,100.0,3,1.7210216522216797,True,0
Small-scale,5,2026070605,2026080005,MIP / benchmark,111.02195241937436,0.0,100.0,3,0.06099247932434082,True,0
Small-scale,5,2026070605,2026080005,ALNS+Q-learning+SA,111.02195241937436,0.0,100.0,3,1.727081060409546,True,0
Small-scale,6,2026070606,2026080006,MIP / benchmark,112.5188513382563,0.0,93.75,3,0.0659937858581543,True,1
Small-scale,6,2026070606,2026080006,ALNS+Q-learning+SA,125.02090310682749,11.111073051205693,100.0,3,1.634505033493042,True,0
Small-scale,7,2026070607,2026080007,MIP / benchmark,111.01959323976668,0.0,100.0,3,0.05900096893310547,True,0
Small-scale,7,2026070607,2026080007,ALNS+Q-learning+SA,111.01959323976668,0.0,100.0,3,1.5599133968353271,True,0
Small-scale,8,2026070608,2026080008,MIP / benchmark,111.01938959183735,0.0,100.0,3,0.059970855712890625,True,0
Small-scale,8,2026070608,2026080008,ALNS+Q-learning+SA,125.02101831765127,12.611876877805658,100.0,3,1.5337531566619873,True,0
Small-scale,9,2026070609,2026080009,MIP / benchmark,111.01827384281516,0.0,100.0,3,0.05200457572937012,True,0
Small-scale,9,2026070609,2026080009,ALNS+Q-learning+SA,111.01865434935013,0.00034274225476197155,100.0,3,1.4763195514678955,True,0
Small-scale,10,2026070610,2026080010,MIP / benchmark,125.02731546158296,0.0,100.0,3,0.05515480041503906,True,0
Small-scale,10,2026070610,2026080010,ALNS+Q-learning+SA,125.02731546158296,0.0,100.0,3,1.5444464683532715,True,0
