Analysis,Level,Runs,Mean total cost (10^4 RMB),95% CI half-width (cost),Mean open platforms,Mean deployed UAVs,Mean coverage rate (%),Mean makespan (h),Mean route distance (km),Mean minimum energy margin (Wh)
6.1 Energy-safety confidence level,0.8,10,107.6170,2.7642,2.00,2.00,100.00,14.0847,111.8603,6.6492
6.1 Energy-safety confidence level,0.85,10,107.6169,2.7643,2.00,2.00,100.00,12.7960,110.6930,6.9217
6.1 Energy-safety confidence level,0.9,10,106.8172,2.9551,2.00,2.00,100.00,13.6471,114.8966,9.2931
6.1 Energy-safety confidence level,0.95,10,105.2172,2.9551,2.00,2.00,100.00,14.2510,116.6092,10.7494
6.1 Energy-safety confidence level,0.99,10,104.4171,2.7646,2.00,2.00,100.00,15.0949,116.0408,8.6164
6.2 Inspection-demand scale,0.8,10,76.0151,0.0000,1.00,1.00,96.00,15.4890,119.9361,13.1106
6.2 Inspection-demand scale,1.0,10,105.2172,2.9551,2.00,2.00,100.00,14.2510,116.6092,10.7494
6.2 Inspection-demand scale,1.2,10,111.1185,2.4893,1.90,2.00,100.00,13.2914,125.2935,3.7565
6.2 Inspection-demand scale,1.5,10,122.4231,3.0589,1.50,2.40,97.20,15.4820,155.2712,6.1328
6.3 UAV battery capacity,0.8,10,109.2180,1.8098,2.00,2.00,100.00,11.5707,123.2488,0.7668
6.3 UAV battery capacity,1.0,10,105.2172,2.9551,2.00,2.00,100.00,14.2510,116.6092,10.7494
6.3 UAV battery capacity,1.2,10,104.4166,2.7641,2.00,2.00,100.00,15.3098,109.8073,9.4923
