point_id,assigned_platform,uav_id,uav_type,prototype,main_service_object
M001,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M002,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M003,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M004,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M005,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M006,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M007,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M008,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M009,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M010,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M011,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M012,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M013,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M014,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M015,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M016,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M017,P01,UAV-A01,Type A,DJI Matrice 4T,"Auxiliary facilities, dense edge points, and utility-related routine inspection"
M018,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M019,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M020,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M021,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M022,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M023,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M024,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M025,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M026,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M027,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M028,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M029,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M030,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M031,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M032,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M033,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M034,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M035,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M036,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M037,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M038,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M039,P02,UAV-B01,Type B,RY-V30,"Peripheral storage area, port-supporting belt, and corridor inspection"
M040,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M041,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
M042,P03,UAV-C01,Type C,TR100,Core process units and hazardous-source surroundings
