paper_point_id,source_numeric_id,source_name
M001,1,1
M002,2,2
M003,3,3
M004,4,4
M005,5,5
M006,6,6
M007,7,7
M008,8,8
M009,9,9
M010,10,10
M011,11,11
M012,12,12
M013,13,13
M014,14,14
M015,15,15
M016,16,16
M017,17,17
M018,18,18
M019,19,19
M020,20,20
M021,21,21
M022,22,22
M023,23,23
M024,24,24
M025,25,25
M026,26,26
M027,27,27
M028,28,28
M029,29,29
M030,31,31
M031,32,32
M032,33,33
M033,34,34
M034,35,35
M035,36,36
M036,37,37
M037,38,38
M038,39,39
M039,40,40
M040,41,41
M041,42,42
M042,44,44
M043,46,46
M044,47,47
M045,48,48
M046,49,49
M047,50,50
M048,51,51
M049,52,52
M050,53,53
M051,54,54
M052,55,55
M053,56,56
M054,57,57
M055,58,58
M056,59,59
M057,60,60
M058,62,62
M059,63,63
M060,64,64
M061,65,65
M062,66,66
M063,67,67
M064,68,68
M065,69,69
M066,70,70
M067,71,71
M068,72,72
M069,73,73
M070,74,74
M071,75,75
M072,76,76
M073,77,77
M074,79,79
M075,80,80
M076,81,81
M077,82,82
M078,83,83
M079,84,84
M080,85,85
M081,86,86
M082,87,87
M083,88,88
M084,89,89
M085,90,90
M086,91,91
M087,92,92
M088,93,93
M089,94,94
M090,95,95
M091,96,96
M092,97,97
M093,98,98
M094,99,99
M095,100,100
