point_id,source_numeric_id,source_name,lon,lat,x_m,y_m
M001,1,1,121.63584059987,30.0338775808647,857.2040305968501,6940.692785053709
M002,2,2,121.639167003666,30.0357585223213,1177.843133167389,7148.61205366604
M003,3,3,121.635952175215,30.0392988587744,867.9590142622269,7539.960845192025
M004,4,4,121.632721903984,30.0375413820347,556.5863331083048,7345.689366385421
M005,5,5,121.629274821918,30.0359798655261,224.31479666518212,7173.079331524969
M006,6,6,121.626947714634,30.0403187869523,0.0,7652.703705977113
M007,7,7,121.629185056677,30.0413658511124,215.6621350878627,7768.446178234288
M008,8,8,121.632526355838,30.0434788309452,537.7370334167807,8002.0149689522095
M009,9,9,121.636212524641,30.0452145782441,893.0546464905088,8193.884475372435
M010,10,10,121.639281760479,30.0411729377598,1188.9047852660897,7747.121536237986
M011,11,11,121.642537709643,30.0375811602988,1502.752616732823,7350.086455698981
M012,12,12,121.642928481656,30.0318979550106,1540.4199581753126,6721.864943141341
M013,13,13,121.646276103992,30.0338698034176,1863.104360726173,6939.8330660510155
M014,14,14,121.648232334924,30.03020409151,2051.6696008250115,6534.62527178518
M015,15,15,121.645380364253,30.0282346544921,1776.762111359998,6316.923703826321
M016,16,16,121.642179398967,30.0263763509892,1468.2142922728424,6111.506834615797
M017,17,17,121.639406332691,30.0246208727444,1200.9125644507453,5917.456269435662
M018,18,18,121.63921631102,30.0296104501647,1182.5959733825332,6469.004157475641
M019,19,19,121.636041727943,30.0284972921376,876.5911912615769,6345.955669160106
M020,20,20,121.633039404786,30.0321133410954,587.1909074357487,6745.673720955181
M021,21,21,121.660847915138,30.0048957735316,3267.712079816089,3737.043802452851
M022,22,22,121.662476103031,30.0066100896434,3424.6565570472962,3926.5443054509847
M023,23,23,121.658944581063,30.0105005368524,3084.2456797250297,4356.594339934115
M024,24,24,121.6538133939,30.0081316619653,2589.639688401857,4094.7389099140537
M025,25,25,121.651314057318,30.0107159238968,2348.7233451627435,4380.403223821986
M026,26,26,121.653866851177,30.0127884369851,2594.792548480153,4609.498820602757
M027,27,27,121.656556690663,30.0144964021475,2854.0718698551095,4798.297289654394
M028,28,28,121.657297633698,30.0170825371483,2925.49293728014,5084.168652642908
M029,29,29,121.656051021911,30.0210972764698,2805.329388550472,5527.9579372412945
M030,31,31,121.653167380819,30.0262172223489,2527.3691201720662,6093.916754717208
M031,32,32,121.654619250891,30.0296633224337,2667.3179494436667,6474.848658090737
M032,33,33,121.653619875196,30.0317515062045,2570.986010921711,6705.676492115166
M033,34,34,121.658719941226,30.0336941309448,3062.5921703634062,6920.414230907737
M034,35,35,121.661620646135,30.0356668932992,3342.1972561808925,7138.483381563348
M035,36,36,121.657330148637,30.0449667895274,2928.6271210723,8166.493910628533
M036,37,37,121.65099416286,30.053477212238,2317.8880412666495,9107.236037058266
M037,38,38,121.64728841105,30.0573809315984,1960.682780698501,9538.753175156677
M038,39,39,121.642979025901,30.055105484778,1545.292024932837,9287.225283629828
M039,40,40,121.638198609597,30.0517521965542,1084.4975791510706,8916.552803371063
M040,41,41,121.638495427989,30.047836751815,1113.108532202549,8483.739541899966
M041,42,42,121.644450670581,30.0411176169489,1687.1469705237587,7741.0063738009785
M042,44,44,121.650375076552,30.0289891319071,2258.2130016785422,6400.323637280483
M043,46,46,121.640319184304,30.0155519011396,1288.9042635723063,4914.972148240944
