route,platform,uav_id,seq,node_id,x_m,y_m
Route 1,P01,UAV-A01,1,P01,601.8754981082028,6948.557126735714
Route 1,P01,UAV-A01,2,M001,857.2040305968501,6940.692785053709
Route 1,P01,UAV-A01,3,M002,1177.843133167389,7148.61205366604
Route 1,P01,UAV-A01,4,M012,1540.4199581753126,6721.864943141341
Route 1,P01,UAV-A01,5,M017,1200.9125644507453,5917.456269435662
Route 1,P01,UAV-A01,6,M016,1468.2142922728424,6111.506834615797
Route 1,P01,UAV-A01,7,M015,1776.762111359998,6316.923703826321
Route 1,P01,UAV-A01,8,M014,2051.6696008250115,6534.62527178518
Route 1,P01,UAV-A01,9,M013,1863.104360726173,6939.8330660510155
Route 1,P01,UAV-A01,10,M011,1502.752616732823,7350.086455698981
Route 1,P01,UAV-A01,11,M010,1188.9047852660897,7747.121536237986
Route 1,P01,UAV-A01,12,M003,867.9590142622269,7539.960845192025
Route 1,P01,UAV-A01,13,M009,893.0546464905088,8193.884475372435
Route 1,P01,UAV-A01,14,M008,537.7370334167807,8002.0149689522095
Route 1,P01,UAV-A01,15,M007,215.6621350878627,7768.446178234288
Route 1,P01,UAV-A01,16,M006,0.0,7652.703705977113
Route 1,P01,UAV-A01,17,M005,224.31479666518212,7173.079331524969
Route 1,P01,UAV-A01,18,M004,556.5863331083048,7345.689366385421
Route 1,P01,UAV-A01,19,P01,601.8754981082028,6948.557126735714
Route 2,P02,UAV-B01,1,P02,2803.169066170241,3829.3397800514017
Route 2,P02,UAV-B01,2,M024,2589.639688401857,4094.7389099140537
Route 2,P02,UAV-B01,3,M025,2348.7233451627435,4380.403223821986
Route 2,P02,UAV-B01,4,M018,1182.5959733825332,6469.004157475641
Route 2,P02,UAV-B01,5,M019,876.5911912615769,6345.955669160106
Route 2,P02,UAV-B01,6,M020,587.1909074357487,6745.673720955181
Route 2,P02,UAV-B01,7,M039,1084.4975791510706,8916.552803371063
Route 2,P02,UAV-B01,8,M038,1545.292024932837,9287.225283629828
Route 2,P02,UAV-B01,9,M037,1960.682780698501,9538.753175156677
Route 2,P02,UAV-B01,10,M036,2317.8880412666495,9107.236037058266
Route 2,P02,UAV-B01,11,M035,2928.6271210723,8166.493910628533
Route 2,P02,UAV-B01,12,M034,3342.1972561808925,7138.483381563348
Route 2,P02,UAV-B01,13,M033,3062.5921703634062,6920.414230907737
Route 2,P02,UAV-B01,14,M032,2570.986010921711,6705.676492115166
Route 2,P02,UAV-B01,15,M031,2667.3179494436667,6474.848658090737
Route 2,P02,UAV-B01,16,M030,2527.3691201720662,6093.916754717208
Route 2,P02,UAV-B01,17,M029,2805.329388550472,5527.9579372412945
Route 2,P02,UAV-B01,18,M028,2925.49293728014,5084.168652642908
Route 2,P02,UAV-B01,19,M027,2854.0718698551095,4798.297289654394
Route 2,P02,UAV-B01,20,M026,2594.792548480153,4609.498820602757
Route 2,P02,UAV-B01,21,M023,3084.2456797250297,4356.594339934115
Route 2,P02,UAV-B01,22,M022,3424.6565570472962,3926.5443054509847
Route 2,P02,UAV-B01,23,M021,3267.712079816089,3737.043802452851
Route 2,P02,UAV-B01,24,P02,2803.169066170241,3829.3397800514017
Route 3,P03,UAV-C01,1,P03,4172.74447443041,1849.9153896620853
Route 3,P03,UAV-C01,2,M051,2726.6243773832953,2401.328293969994
Route 3,P03,UAV-C01,3,M050,2355.2123834099416,2143.166457292587
Route 3,P03,UAV-C01,4,M049,2022.8042420840968,1916.7330524257459
Route 3,P03,UAV-C01,5,M048,1730.8613644064687,2346.1502730658385
Route 3,P03,UAV-C01,6,M054,2151.3875189144046,2592.899225903343
Route 3,P03,UAV-C01,7,M055,1869.409459971721,2965.824123919184
Route 3,P03,UAV-C01,8,M047,1194.4118308517843,3157.0473706877024
Route 3,P03,UAV-C01,9,M046,627.0009707328671,3981.9749257196336
Route 3,P03,UAV-C01,10,M045,833.4104586464276,4402.432808868365
Route 3,P03,UAV-C01,11,M044,1082.58798529224,4585.712342653016
Route 3,P03,UAV-C01,12,M043,1288.9042635723063,4914.972148240944
Route 3,P03,UAV-C01,13,M040,1113.108532202549,8483.739541899966
Route 3,P03,UAV-C01,14,M041,1687.1469705237587,7741.0063738009785
Route 3,P03,UAV-C01,15,M042,2258.2130016785422,6400.323637280483
Route 3,P03,UAV-C01,16,M059,1478.6591820169624,4327.245170165879
Route 3,P03,UAV-C01,17,M058,1114.2459640943114,4030.459631522733
Route 3,P03,UAV-C01,18,M060,1923.6957049319833,4002.634519038398
Route 3,P03,UAV-C01,19,M057,1938.7831758057307,3612.999967639689
Route 3,P03,UAV-C01,20,M056,2466.414555723562,3436.6499357610223
Route 3,P03,UAV-C01,21,M053,2811.697453150215,3143.3075233795307
Route 3,P03,UAV-C01,22,M052,3034.8536983134245,2826.5177354238044
Route 3,P03,UAV-C01,23,P03,4172.74447443041,1849.9153896620853
Route 4,P04,UAV-B02,1,P04,2262.633164553932,6979.7173657018
Route 4,P04,UAV-B02,2,M073,2908.822849548668,6076.495872261261
Route 4,P04,UAV-B02,3,M072,3377.708503288882,5422.098439055055
Route 4,P04,UAV-B02,4,M069,3469.3417251885617,4572.712064928393
Route 4,P04,UAV-B02,5,M066,3360.378882862915,2493.436645371944
Route 4,P04,UAV-B02,6,M065,3713.8363008206757,2011.9329758584727
Route 4,P04,UAV-B02,7,M064,4120.926215630545,2259.700665424588
Route 4,P04,UAV-B02,8,M061,4492.737756566037,1808.1016605837613
Route 4,P04,UAV-B02,9,M062,4805.579874521933,2058.5715284601424
Route 4,P04,UAV-B02,10,M063,4493.51651811516,2489.433083454494
